"item_id", "coverage_id", "areaperil_id", "vulnerability_id", "group_id"
1, 1, 400001, 1300007, 1
2, 2, 400001, 1000011, 1
3, 3, 400001, 6, 1
4, 4, 700001, 1900009, 2
5, 5, 700001, 1000012, 2
6, 6, 700001, 2100007, 2
7, 7, 600001, 1900010, 3
8, 8, 600001, 1900010, 4
9, 9, 600001, 1900010, 5
10, 10, 600001, 1900010, 6
11, 11, 600001, 1900010, 7
12, 12, 600001, 1900010, 8
13, 13, 600001, 10, 3
14, 14, 600001, 10, 4
15, 15, 600001, 10, 5
16, 16, 600001, 10, 6
17, 17, 600001, 10, 7
18, 18, 600001, 10, 8
19, 19, 600001, 1900010, 9
20, 20, 600001, 1900010, 10
21, 21, 600001, 10, 9
22, 22, 600001, 10, 10
23, 23, 600001, 1900010, 11
24, 24, 600001, 1900010, 12
25, 25, 600001, 10, 11
26, 26, 600001, 10, 12
27, 27, 100001, 500009, 13
28, 28, 100001, 1700014, 13
29, 29, 100001, 500009, 14
30, 30, 100001, 500009, 15
31, 31, 100001, 1700014, 14
32, 32, 100001, 1700014, 15
33, 33, 100001, 500009, 16
34, 34, 100001, 1700014, 16
35, 35, 300001, 1700012, 17
36, 36, 300001, 1700012, 18
37, 37, 300001, 1900006, 17
38, 38, 300001, 1900006, 18
39, 39, 300001, 1700012, 19
40, 40, 300001, 1700012, 20
41, 41, 300001, 1900006, 19
42, 42, 300001, 1900006, 20
43, 43, 300001, 1700012, 21
44, 44, 300001, 1900006, 21
45, 45, 400002, 9, 22
46, 46, 400002, 9, 23
47, 47, 400002, 9, 24
48, 48, 400002, 600009, 22
49, 49, 400002, 600009, 23
50, 50, 400002, 600009, 24
51, 51, 400002, 9, 25
52, 52, 400002, 9, 26
53, 53, 400002, 9, 27
54, 54, 400002, 600009, 25
55, 55, 400002, 600009, 26
56, 56, 400002, 600009, 27
57, 57, 200001, 900008, 28
58, 58, 200001, 900008, 29
59, 59, 200001, 1900007, 28
60, 60, 200001, 1900007, 29
61, 61, 200001, 500010, 28
62, 62, 200001, 500010, 29
63, 63, 200001, 1800005, 30
64, 64, 200001, 1800005, 31
65, 65, 200001, 1800005, 32
66, 66, 200001, 300007, 30
67, 67, 200001, 300007, 31
68, 68, 200001, 300007, 32
69, 69, 1, 900007, 33
70, 70, 1, 900007, 34
71, 71, 1, 1800004, 33
72, 72, 1, 1800004, 34
73, 73, 1, 900007, 35
74, 74, 1, 900007, 36
75, 75, 1, 1800004, 35
76, 76, 1, 1800004, 36
77, 77, 500001, 2000011, 37
78, 78, 500001, 2000011, 38
79, 79, 500001, 2000011, 39
80, 80, 500001, 2000011, 40
81, 81, 500001, 8, 37
82, 82, 500001, 8, 38
83, 83, 500001, 8, 39
84, 84, 500001, 8, 40
85, 85, 2, 1900011, 41
86, 86, 2, 1100005, 41
87, 87, 2, 500011, 42
88, 88, 2, 100009, 42
89, 89, 2, 2100008, 42
